bearing2,year_t,spread_rate,snow_depth,tmin,tmean,ppt
258.25,1998,30.60428564,5206.571429,-7.295617171,17.43728583,241.3112858
260.5,1998,37.868,6822.125,-7.8677075,17.45888734,246.7348728
261.25,1998,40.07499885,7157.333333,-8.04138835,17.41674995,254.85333
261.5,1998,42.14699935,6873.375,-7.9930849,17.42254996,253.8292484
262.25,1998,40.83266577,6577.5,-7.992113283,17.39466635,250.9773331
262.5,1998,14.23157133,6016.428571,-8.007809986,17.51891407,258.1900002
263.25,1998,25.1594282,5386.142857,-8.019857114,17.59825706,266.0791451
263.5,1998,31.8839998,5336.5,-8.081748763,17.5844624,266.6793747
264.25,1998,30.4260006,5428.125,-8.1494999,17.57382468,264.8617515
264.5,1998,32.3050003,5537.25,-8.296792525,17.56171229,266.8408775
265.25,1998,27.77000045,5913.25,-8.478835,17.51612471,260.6111298
265.5,1998,33.11599925,5295,-8.333876388,17.58815001,269.2007561
266.25,1998,33.9240017,5950.5,-8.528833417,17.45750047,261.2216644
266.5,1998,18.27833367,6952,-9.0602765,17.0954501,234.6116664
267.25,1998,19.71499953,7098,-9.06455325,17.0582498,233.2268346
267.5,1998,18.3359995,7948.875,-9.284291375,16.66641256,228.3645
268.25,1998,19.19899943,7913.333333,-9.217721617,16.61485002,227.2794978
268.5,1998,32.40014267,7342.142857,-9.095332957,16.72967146,225.4139971
269.25,1998,33.2279987,6993.375,-8.903539875,16.99476241,225.6459999
269.5,1998,30.89757154,6602.857143,-8.856712743,17.0641572,222.3421434
270.25,1998,38.2779986,6562.666667,-8.866833383,16.99230033,220.2401657
270.5,1998,39.6950016,6548.5,-8.8555,16.9516506,216.3747483
271.25,1998,43.9925003,7012.833333,-8.9032766,16.9022999,214.4073334
271.5,1998,46.32433323,7435.5,-8.993445083,16.85906667,211.3645045
272.25,1998,41.04042707,6823.142857,-8.933095814,16.79880034,199.3778599
272.5,1998,33.71600083,6339,-8.8527783,16.76965015,188.1603317
273.25,1998,38.75599927,5146.333333,-8.7175584,17.11928305,185.0085017
273.5,1998,43.98471453,4199.285714,-8.595238543,17.49161366,183.6912864
274.25,1998,51.08100131,4455.857143,-8.683477271,17.40817099,187.2191445
274.5,1998,44.97299957,2603,-8.395611917,17.62076633,170.6865005
275.25,1998,46.85028459,2312.857143,-8.337712986,17.64122827,170.0620008
275.5,1998,45.49833173,2485.5,-8.392000067,17.61118283,170.6489995
276.25,1998,44.91614203,2517.714286,-8.529237086,17.53181429,175.8032859
276.5,1998,50.86099877,2829.666667,-8.711888167,17.42925005,181.6223323
277.25,1998,47.5019989,3207.833333,-8.862943183,17.3275,182.362999
277.5,1998,37.78957149,3703.571429,-9.006998743,17.15120014,181.0954285
278.25,1998,36.65285653,3701.142857,-8.9783302,17.24848584,177.0411399
278.5,1998,23.35456604,6865,-9.150144171,17.1812714,188.7597177
279.25,1998,-0.5410015,8960.666667,-9.05938655,16.89391647,185.0586675
279.5,1998,1.1679995,8642.25,-8.993623725,16.9309497,187.1795025
280.25,1998,1.657567143,8785.285714,-9.002664286,16.93934251,188.1998574
280.5,1998,-0.0254975,7852.25,-9.157247525,16.83032513,194.3722496
281.25,1998,-8.452679633,6811.833333,-9.419719833,16.6582667,196.911499
281.5,1998,-8.880333267,6367.166667,-9.524609867,16.58558305,195.536499
282.25,1998,-10.9594998,5956.75,-9.657084813,16.50392486,196.027626
282.5,1998,-1.66449195,6802,-9.489708763,16.81899951,210.5798741
283.25,1998,-3.20349,6727.833333,-9.57344515,16.72733305,210.2813339
283.5,1998,-25.75999925,6683.75,-9.5687499,16.65735005,211.5625
284.25,1998,-31.0904999,6758.375,-9.54341615,16.65715001,213.9204998
284.5,1998,-22.73855569,6812.777778,-9.469333122,16.66132206,218.2757789
285.25,1998,-10.81014266,6875.142857,-9.422476914,16.66469983,221.1778586
285.5,1998,-5.69140194,6992.6,-9.38313202,16.63745994,222.2461975
286.25,1998,-1.93501005,7115.75,-9.3573325,16.56462525,225.5524979
286.5,1998,1.212989333,7234.5,-9.334278283,16.45455042,230.4204992
287.25,1998,0.0331371,7193.285714,-9.345809943,16.43977164,233.9348559
287.5,1998,-1.567505,7182.125,-9.327710025,16.40418768,238.7688732
288.25,1998,-5.34722396,7166.8,-9.2866701,16.36670036,241.2359985
288.5,1998,-5.4242814,7505,-9.329430029,16.38915743,245.8328574
289.25,1998,-5.2049899,7756.5,-9.35599995,16.3984003,247.9410019
234.5,1999,6.1929898,5327.5,-4.5638299,20.0760498,262.0644989
235.25,1999,7.559414229,5400.428571,-4.453569986,20.15801429,262.9755642
235.5,1999,9.73899996,5515,-4.45026602,20.1837799,266.5783875
236.25,1999,11.5365005,5699.375,-4.443957513,20.16363716,271.4229889
236.5,1999,13.10899975,5783.75,-4.462582525,20.14498711,274.0133667
237.25,1999,18.21660006,5991.4,-4.68153402,19.95610008,280.3384033
247.5,1999,-19.7590008,7063,-6.1826701,16.7821999,246.6230011
248.25,1999,-19.8524284,7314,-6.247191486,16.91935704,248.4807173
248.5,1999,-16.1414995,7387.125,-6.32654255,17.00383736,249.3746281
249.25,1999,-8.465999933,7158,-6.76455675,17.45948315,245.7133331
249.5,1999,-2.744994186,6698.857143,-6.928807271,17.9259428,245.4678563
250.25,1999,-1.546808,6306.6,-6.84113016,18.11554032,254.178006
250.5,1999,5.58900495,6501.875,-7.293125038,17.96236251,294.2444954
251.25,1999,7.486666667,7043,-7.317776617,17.94264953,310.5986633
251.5,1999,11.81850005,7901.625,-7.221207513,17.92922475,328.3041268
252.25,1999,11.1415,8441.5,-7.146276717,17.9203164,339.2066701
252.5,1999,7.510649667,9064,-7.07838845,17.87196637,350.586675
253.25,1999,0.532994,9288.142857,-7.119333,17.77977126,357.1198643
253.5,1999,5.22258996,10379,-6.86326608,17.77592048,361.3038086
254.25,1999,5.1146733,8603,-7.406778517,17.63073347,356.6291657
254.5,1999,6.0704949,8826.5,-7.422417613,17.7637248,345.7164994
255.25,1999,0.4374995,7432.375,-7.647499875,17.51204968,341.5166206
255.5,1999,4.2349849,6862,-7.604501617,17.576533,322.1763306
256.25,1999,3.812676567,6795.833333,-7.540723317,17.62259992,307.2383321
256.5,1999,5.07949995,6846.375,-7.5632525,17.64513755,305.2234993
257.25,1999,16.5894282,6623.428571,-7.688714214,17.68108587,294.9541408
257.5,1999,28.4549999,5528.875,-7.916833788,17.74641251,267.760376
